ts,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
1787934600000,78966.33,78966.33,NaN,NaN,NaN,17.529126697,11.7965155816,28.9943489277,30.3260822436,-177.126235391,78966.33,80215.2968372,77717.3631628,78966.33,78791.9457258,-398.694297023,-228.518180673,-340.352232701,25.1556959684,30.5928276313,14.2814326425,27.1351388135,-177.126235391,78966.33,80215.2968372,77717.3631628
1787935500000,78875.885,78851.5557143,NaN,NaN,NaN,27.6407652051,17.8190676241,47.284160367,30.2352175157,-137.278763961,78875.885,80196.7774972,77554.9925028,78875.885,78693.7794662,-429.625411487,-268.739626836,-321.771569303,26.882102487,29.3559192499,21.9344689613,27.0467417271,-137.278763961,78875.885,80196.7774972,77554.9925028
1787936400000,78799.305,78767.4932653,NaN,NaN,NaN,32.7425011894,25.9707976972,46.2859081739,34.6585899728,-112.170994268,78799.305,80143.8475177,77454.7624823,78799.305,78624.7433265,-432.394513572,-301.470604183,-261.847818778,30.3310895349,29.6809760115,31.6313165816,32.0481592846,-112.170994268,78799.305,80143.8475177,77454.7624823
1787937300000,78720.555,78686.1510496,NaN,NaN,NaN,35.987285713,32.1235173692,43.7148224007,34.0375539701,-88.102267102,78720.555,80078.8566903,77362.2533097,78720.555,78556.996343,-434.06381562,-327.98924647,-212.149138299,33.6866856846,31.0162125692,39.0276319154,31.4281356986,-88.102267102,78720.555,80078.8566903,77362.2533097
1787938200000,78639.055,78597.2699972,NaN,NaN,NaN,38.082637648,35.6041415168,43.0396299103,32.2384872122,-91.9626269683,78639.055,80023.9541089,77254.1558911,78639.055,78480.4157389,-443.228495964,-351.037096369,-184.38279919,34.6647808995,32.2324020126,39.5295386731,29.6421361108,-91.9626269683,78639.055,80023.9541089,77254.1558911
1787939100000,78563.385,78528.7109499,NaN,NaN,NaN,42.4569299581,38.8422844397,49.686220995,35.1038958141,-75.5784193152,78563.385,79941.0791987,77185.6908013,78563.385,78422.9856686,-435.426140154,-367.914905126,-135.022470056,39.89383412,34.7862127151,50.1090769299,32.8308221848,-75.5784193152,78563.385,79941.0791987,77185.6908013
1787940000000,78481.4,78450.7480023,NaN,NaN,NaN,47.853697724,42.79775511,57.9655829519,33.0795955531,-75.8538969493,78481.4,79857.2940701,77105.5059299,78481.4,78355.0917954,-437.696931014,-381.871310304,-111.65124142,45.4586165072,38.3436806458,59.68848823,30.8101135758,-75.8538969493,78481.4,79857.2940701,77105.5059299
1787940900000,78400.82,78365.8862878,NaN,NaN,NaN,53.875514118,48.0620472667,65.5024478206,31.3304619197,-84.8630551967,78400.82,79794.3140697,77007.3259303,78400.82,78279.3401958,-446.485762246,-394.794200692,-103.383123107,48.5345511752,41.7406374889,62.1223785478,29.0774478036,-84.8630551967,78400.82,79794.3140697,77007.3259303
1787941800000,78317.17,78272.2971175,NaN,NaN,NaN,39.8762835425,47.2018317948,25.2251870379,29.3679259173,-92.253220186,78317.17,79743.7189604,76890.6210396,78317.17,78193.9935105,-462.363213926,-408.308003339,-108.110421174,35.1411170617,39.5407973465,26.3417564921,27.147967397,-92.253220186,78317.17,79743.7189604,76890.6210396
1787942700000,78229.635,78201.9450111,NaN,NaN,NaN,31.8127083094,41.8548353233,11.7284542817,33.2073603188,-85.1473525959,78229.635,79622.5171677,76836.7528323,78229.635,78131.0988905,-457.535995568,-418.153601785,-78.7647875663,34.2265632353,37.7693859761,27.1409177536,31.3295600829,-85.1473525959,78229.635,79622.5171677,76836.7528323
1787943600000,78181.36,78148.3788195,NaN,NaN,NaN,28.2545163733,33.3145027417,18.1345436364,35.8515012373,-61.5648946674,78181.36,79585.7356327,76776.9843673,78181.36,78084.2799485,-440.092038215,-422.541289071,-35.101498289,37.4883237244,37.6756985589,37.1135740555,34.1937385792,-61.5648946674,78181.36,79585.7356327,76776.9843673
1787944500000,78119.445,78102.8284558,NaN,NaN,NaN,41.2590480369,33.7754242399,56.2262956308,36.6321134866,-50.7505843659,78119.445,79499.1177778,76739.7722222,78119.445,78044.8342391,-418.968800538,-421.826791364,5.71598165276,40.7814970914,38.7109647364,44.9225618015,35.0368931271,-50.7505843659,78119.445,79499.1177778,76739.7722222
1787945400000,78025.235,78045.7209838,NaN,NaN,NaN,42.4178403122,37.3104682408,52.6325844549,34.1884160219,-62.2092725102,78025.235,79298.9714253,76751.4985747,78025.235,77993.2500259,-410.958642237,-419.653161539,17.3890386029,39.1456088637,38.8558461122,39.7251343668,32.5846022308,-62.2092725102,78025.235,79298.9714253,76751.4985747
1787946300000,77927.235,77998.4999377,NaN,NaN,NaN,42.141794544,41.9395609643,42.5462617032,35.4852655945,-72.0362833829,77927.235,79017.3410137,76837.1289863,77927.235,77951.0262139,-396.274231692,-414.977375569,37.4062877556,40.4916417085,39.401111311,42.6727025037,33.9770739783,-72.0362833829,77927.235,79017.3410137,76837.1289863
1787947200000,77840.15,77953.9570865,-483.660267943,-568.70524165,85.044973707,40.7634667755,41.7743672105,38.7416659055,35.179925842,-67.5276244278,77840.15,78749.8095462,76930.4904538,77840.15,77911.0046697,-381.777052698,-408.337310995,53.1205165947,41.4053813124,40.0692013114,44.0777413143,33.6707498199,-67.5276244278,77840.15,78749.8095462,76930.4904538
1787948100000,77748.82,77909.0087926,-464.369170165,-547.838027353,83.4688571885,43.6028035328,42.1693549508,46.469700697,34.3662735174,-81.3699100356,77748.82,78372.1184986,77125.5215014,77748.82,77870.1470821,-369.961005877,-400.662049971,61.4020881892,42.400868435,40.846423686,45.5097579331,32.8557128558,-81.3699100356,77748.82,78372.1184986,77125.5215014
